"Id","Company Name","Email","Phone","Street","City","State","Zip Code","DEA #","Account Classification", "Classification Type", "Active/Suspended", "Suspended Date", "Suspension Reason", "Account Status", "Approved","Registered On", "How did you hear about us?", "What do you hope to achieve by joining?", "Last Login"
"100017","Buyer Pharmacy","gnr.mca@gmail.com","727-123-4567","8110 Bluff Trl","Austin","TX","78737","PA1234567","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Sep. 13, 2017 20:00:00","N/A","N/A","N/A"
"100018","YOUR PHARMACY","test@gmail.com","4071234567","123 MAINS ST","ORLANDO","TX","33445","PB1234567","Pharmacy","Retail Pharmacy","active","0000-00-00","This is an Admin user not on the Test Server to verify Bug 155.","new","1","Oct. 22, 2010 15:43:45","N/A","N/A","N/A"
"100021","Test - Supplier2Q","nagarjuna.golamaru@amzur.com","954-123-4567","2020 VISION ST","MIAMI","FL","33331","WA1234567","Wholesaler","Full Line Wholesaler","active","0000-00-00","","final","1","Oct. 23, 2010 18:30:11","N/A","N/A","N/A"
"100022","Test - Republic- Test","nagarjuna.golamaru@amzur.com","454-123-4567","2020 VISIION LANE CIRCLE","CINCINNATTI","OH","48546","RE1234567","Wholesaler","Full Line Wholesaler","active","0000-00-00","","final","1","Oct. 23, 2010 18:40:04","N/A","N/A","N/A"
"100026","","gnr.mca@gmail.com","1231231230","test street","test city","FL","32014","RC0000000","Other","","active","0000-00-00","","new","1","Oct. 23, 2010 21:46:40","N/A","N/A","N/A"
"100027","","sales@sysupport.com","","","","","","RC0000001","Other","","active","0000-00-00","","new","1","Oct. 23, 2010 21:49:08","N/A","N/A","N/A"
"100028","","customer.service@sysupport.com","","","","","","RC0000002","Other","","active","0000-00-00","","new","1","Oct. 23, 2010 22:03:44","N/A","N/A","N/A"
"100059","","testing@iii.com","","","","","","ZZ9999999","Pharmacy","Retail Pharmacy","suspended","0000-00-00","","final","1","Nov. 20, 2010 13:52:13","N/A","N/A","N/A"
"100062","Rocky Mountain Music Group","nagarjuna.golamaru@amzur.com","941-925-2424","1717 Redwood St","Sarasota","FL","34231","FD1234567","Wholesaler","Distributor","active","0000-00-00","","final","1","Nov. 23, 2010 15:42:48","N/A","N/A","N/A"
"100067","Test - Keysource - Test","sravya.jetti@trxadedev.com","800-261-0281","1234 Any St","Tampa","FL","33626","ZZ4321574","Wholesaler","Distributor","active","0000-00-00","","final","1","Apr. 14, 2011 12:17:03","N/A","N/A","May. 15, 2025 05:46:58"
"100069","Selling Pharmacy ","gnr.mca@gmail.com","555-555-5555","9213 Ashton Ridge","Austin","TX","78750","TT1234567","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","May. 11, 2011 10:31:31","N/A","N/A","N/A"
"100074","Sai Charan","nagarjuna.reddy@trxadedev.com","5128966531","3467 E Spring Creek Pkwy PLano, TX 75023","Pkwy PLano","TX","75023","JF123456789","Wholesaler","Distributor","active","0000-00-00","","final","1","May. 31, 2011 23:55:28","N/A","N/A","N/A"
"100080","Local Test Pharmacy","gnr.mca@gmail.com","813-555-1212","30234 Rattana Ct","Wesley Chapel by gnr","FL","33545","ZZ9988776","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Jun. 26, 2011 10:28:14","N/A","N/A","N/A"
"100083","Flying Diamond Network Solutions","gnr.mca@gmail.com","941-925-2424","2008 Payne Ave","Austin","TX","78757","LZ1357246","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Aug. 17, 2011 20:29:28","N/A","N/A","N/A"
"100092","Test Buyer Pharm","gnr.mca@gmail.com","555-222-3333","2206 South Congress Avenue","Austin","TX","78704","VB5555555","Pharmacy","Retail Pharmacy","active","0000-00-00","","new","1","Apr. 27, 2012 15:02:12","N/A","N/A","N/A"
