"Product Trade Name",NDC,"Price Type Short Description","Price Type Long Description","Price Type Definition",Price,"Dosage Form","Pack Size"
"RISPERIDONE 0.25 MG TABLET",43547033950,SWP,"Suggested Wholesale Price (SWP) Unit Price","A suggested wholesale price is the manufacturer's suggested price from wholesalers to their customers (i.e., retailers, hospitals, physicians and other buying entities) as reported to First Databank by the manufacturer. The Suggested Wholesale Unit Price (SWP) is the suggested wholesale price of a single NCPDP billing unit of the product, where a unit is defined as a gram, each, or milliliter.",3.90000,TABLET,500.000
"RISPERIDONE 0.25 MG TABLET",43547033950,SWPPKG,"Suggested Wholesale Price (SWP) Package Price","A suggested wholesale price is the manufacturer's suggested price from wholesalers to their customers (i.e., retailers, hospitals, physicians and other buying entities) as reported to First Databank by the manufacturer. The Suggested Wholesale Price Package Price (SWPPKG) is the suggested wholesale price of a single package, where package is defined as the container that is in direct contact with the product.",1950.00000,TABLET,500.000
"RISPERIDONE 0.25 MG TABLET",43547033950,WHN,"Wholesale Acquisition Cost (WAC) Unit Price","A wholesale acquisition price is the manufacturer's published catalog or list price for a drug product to wholesalers as reported to First Databank by the manufacturer. The Wholesale Acquisition Cost Unit Price (WHN) is the suggested wholesale acquisition price of a single NCPDP billing unit of the product, where a unit is defined as a gram, each, or milliliter.",0.16000,TABLET,500.000
"RISPERIDONE 0.25 MG TABLET",43547033950,WHNPKG,"Wholesale Acquisition Cost (WAC) Package Price","A wholesale acquisition price is the manufacturer's published catalog or list price for a drug product to wholesalers as reported to First Databank by the manufacturer. The Wholesale Acquisition Cost Package Price (WHNPKG) is the suggested wholesale acquisition price of a single package, where package is defined as the container that is in direct contact with the product.",80.00000,TABLET,500.000
"RISPERIDONE 0.25 MG TABLET",43547033950,WSD,"Consolidated Price 1 Unit Price","A consolidated price is one of the manufacturer supplied prices. Some price types may not be available from the manufacturer. The Consolidated Price 1 Unit Price is the selection of the wholesale acquisition, suggested wholesale, or direct unit price, where the selection is defined as the first available in the sequence listed (e.g., WAC is selected when provided, then SWP, then DIR.)",0.16000,TABLET,500.000
"RISPERIDONE 0.25 MG TABLET",43547033950,WSDPKG,"Consolidated Price 1 Package Price","A consolidated price is one of the manufacturer supplied prices. Some price types may not be available from the manufacturer. The Consolidated Price 1 Package Price is the selection of the wholesale acquisition, suggested wholesale, or direct package price, where the selection is defined as the first available in the sequence listed (e.g., WAC is selected when provided, then SWP, then DIR.)",80.00000,TABLET,500.000
"RISPERIDONE 0.25 MG TABLET",43547033950,SWD,"Consolidated Price 2 Unit Price","A consolidated price is one of the manufacturer supplied prices. Some price types may not be available from the manufacturer. The Consolidated Price 2 Unit Price is the selection of the suggested wholesale, wholesale acquisition,  or direct unit price, where the selection is defined as the first available in the sequence listed (e.g., SWP is selected when provided, WAC, then DIR.)",3.90000,TABLET,500.000
"RISPERIDONE 0.25 MG TABLET",43547033950,SWDPKG,"Consolidated Price 2 Package Price","A consolidated price is one of the manufacturer supplied prices. Some price types may not be available from the manufacturer. The Consolidated Price 2 Package Price is the selection of the suggested wholesale, wholesale acquisition,  or direct package price, where the selection is defined as the first available in the sequence listed (e.g., SWP is selected when provided, WAC, then DIR.)",1950.00000,TABLET,500.000
"RISPERIDONE 0.25 MG TABLET",43547033950,WAAMP,"Weighted Average of Average Manufacturer Prices","The Weighted Average AMP for a drug product, as published by CMS",0.01417,TABLET,500.000
"RISPERIDONE 0.25 MG TABLET",43547033950,FUL,"ACA Federal Upper Limit","ACA Federal Upper Limit for a drug product, as published by CMS",0.03595,TABLET,500.000
"RISPERIDONE 0.25 MG TABLET",43547033950,NADACG,"National Average Drug Acquisition Cost (Generic)","The National Average Drug Acquisition Cost, as published by CMS, for drugs classified as generic drugs by CMS. (Brand drugs will also have the NADACG of the generic drugs considered comparable by CMS.)",0.03726,TABLET,500.000
